"","online_order","reservations","ratings","votes","two_meal_cost","city","phone_count","favorite_count","menu_listed","grouped_cuisine_Asian","grouped_cuisine_Drinks","grouped_cuisine_European","grouped_cuisine_Western","grouped_cuisine_Vegetarian","grouped_cuisine_Other","grouped_cuisine_Eastern_Indian","grouped_cuisine_Middle_East","grouped_cuisine_North_Indian","grouped_cuisine_Souhtern_Indian","grouped_cuisine_Western_Indian","restaurant_type_Cafe_Tea","restaurant_type_Dessert_Parlor","restaurant_type_Fine_Dining","restaurant_type_Quick_Bites","restaurant_type_Bar","restaurant_type_Delivery","food_list_type_Unkown","food_list_type_Sheet_Shop","food_list_type_Takeaway","food_list_type_Bars"
"125",1,0,3.4,9,250,"Kalyan Nagar",2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"126",1,0,3.4,9,250,"Kammanahalli",2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"127",1,0,2.8,76,300,"Frazer Town",2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"128",1,0,2.8,77,300,"Kalyan Nagar",2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"129",1,0,2.8,77,300,"Kammanahalli",2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"130",0,0,3.2,9,200,"Kalyan Nagar",2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"131",0,0,3.2,9,200,"Kammanahalli",2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"132",0,0,3.3,6,450,"Whitefield",2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"133",0,0,2.9,59,500,"Bannerghatta Road",2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"134",1,0,3,39,300,"JP Nagar",2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
"135",1,0,3.1,38,300,"Bannerghatta Road",2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
"136",1,0,3.2,4,150,"Kammanahalli",2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"137",1,0,3.4,29,750,"BTM",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"138",1,0,3.4,29,750,"Jayanagar",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"139",1,0,3.4,29,750,"JP Nagar",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"140",1,0,3.4,29,750,"Koramangala 4th Block",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"141",0,0,3.2,13,200,"Church Street",2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"142",0,0,3.2,13,200,"Frazer Town",2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"143",0,0,3.2,13,200,"Lavelle Road",2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"144",0,0,3.2,13,200,"Malleshwaram",2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"145",1,0,3.2,13,200,"Brigade Road",2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"146",1,0,3.2,13,200,"Church Street",2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"147",1,0,3.2,12,300,"Jayanagar",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"148",1,0,3.3,12,300,"Banashankari",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
